Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2022-02-14 Roundtable,City Council,Roundtable,,2022,2022-02-14,05:30 PM,completed,4018,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4018,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3585&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2455&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2455&Inline=True
2022-02-28 Regular,City Council,Regular,,2022,2022-02-28,05:30 PM,completed,4019,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4019,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3596&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2465&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2465&Inline=True
2022-03-07 Regular,City Council,Regular,,2022,2022-03-07,05:30 PM,completed,4020,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4020,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3600&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2473&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2473&Inline=True
2022-03-14 Regular,City Council,Regular,,2022,2022-03-14,05:30 PM,cancelled,4021,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4021,,,,
2022-03-21 Regular,City Council,Regular,,2022,2022-03-21,05:30 PM,completed,4022,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4022,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3612&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3612&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2480&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2480&Inline=True
2022-03-28 Regular,City Council,Regular,,2022,2022-03-28,05:30 PM,completed,4023,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4023,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3619&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3619&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2483&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2483&Inline=True
2022-04-04 Regular,City Council,Regular,,2022,2022-04-04,05:30 PM,completed,4024,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4024,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3625&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3625&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2487&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2487&Inline=True
2022-04-11 Regular,City Council,Regular,,2022,2022-04-11,05:30 PM,completed,4025,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4025,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3630&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3630&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2495&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2495&Inline=True
2022-04-25 Regular,City Council,Regular,,2022,2022-04-25,05:30 PM,completed,4026,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4026,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3640&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3640&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2505&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2505&Inline=True
2022-05-02 Regular,City Council,Regular,,2022,2022-05-02,05:30 PM,completed,4027,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4027,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3643&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3643&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2508&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2508&Inline=True
