Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2024-04-10 Committee,Transportation & Public Utilities Committee,Committee,,2024,2024-04-10,03:00 PM,completed,4514,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4514,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4035&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4035&Inline=True,,
2024-04-11 Special,City Council,Special,,2024,2024-04-11,03:00 PM,completed,4527,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4527,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4052&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4052&Inline=True,,
2024-04-11 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-04-11,06:00 PM,completed,4520,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4520,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4043&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4043&Inline=True,,
2024-04-12 Committee,"Government Operations, Rules & Claims Committee",Committee,,2024,2024-04-12,10:30 AM,completed,4525,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4525,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4049&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4049&Inline=True,,
2024-04-24 Committee,Health & Environment Committee,Committee,,2024,2024-04-24,11:00 AM,completed,4515,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4515,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4037&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4037&Inline=True,,
2024-04-24 Committee,Transportation & Public Utilities Committee,Committee,,2024,2024-04-24,03:00 PM,completed,4510,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4510,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4029&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4029&Inline=True,,
2024-04-25 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-04-25,06:00 PM,completed,4528,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4528,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4053&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4053&Inline=True,,
2024-04-29 Regular,City Council,Regular,,2024,2024-04-29,05:30 PM,completed,4477,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4477,,,,
2024-04-30 Committee,Housing Committee,Committee,,2024,2024-04-30,03:00 PM,completed,4523,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4523,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4046&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4046&Inline=True,,
2024-05-01 Committee,Human Services & Veterans Committee,Committee,,2024,2024-05-01,03:00 PM,completed,4522,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4522,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4045&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4045&Inline=True,,
