Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Board of Zoning Appeal,Hearing – Remote,,07/30/20,06:00 PM,completed,2663,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2663,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2244&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2244&Inline=True,,
City Council,Special,,08/03/20,02:00 PM,completed,2707,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2707,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2267&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2267&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2206&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2206&Inline=True
Planning Board,Planning Board,,08/04/20,06:30 PM,completed,2670,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2670,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2270&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2218&Inline=True
City Council,Special,,08/10/20,03:00 PM,completed,2701,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2701,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2263&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2263&Inline=True,,
Economic Development & University Relations Committee,Committees,,08/11/20,10:00 AM,completed,2703,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2703,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2269&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2269&Inline=True,,
Health & Environment Committee,Committee,,08/11/20,02:30 PM,completed,2708,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2708,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2273&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2273&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2211&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2211&Inline=True
City Council,Roundtable/Working,,08/11/20,05:30 PM,completed,2709,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2709,,,,
Planning Board,Planning Board,,08/11/20,06:30 PM,completed,2671,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2671,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2271&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2220&Inline=True
City Council,Special,,08/12/20,02:00 PM,completed,2706,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2706,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2268&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2268&Inline=True,,
Board of Zoning Appeal,Hearing – Remote,,08/13/20,06:00 PM,completed,2704,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2704,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2265&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2265&Inline=True,,
Planning Board,Planning Board,,08/18/20,06:30 PM,completed,2672,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2672,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2272&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2221&Inline=True
Ordinance Committee,Committee,,08/19/20,05:00 PM,completed,2686,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2686,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2258&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2258&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2214&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2214&Inline=True
