Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2023 #206,08/07/23 Special,08/07/23,14,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20248&CssClass=,
CMA 2023 #207,08/07/23 Special,08/07/23,15,Awaiting Report Response,AR-20-53,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20284&CssClass=,"Vote to accept Massachusetts General Law Chapter 23M. Original response in Council June 14, 2021"
CMA 2023 #208,08/07/23 Special,08/07/23,16,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20282&CssClass=,
CMA 2023 #209,08/07/23 Special,08/07/23,17,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20266&CssClass=,
CMA 2023 #210,08/07/23 Special,08/07/23,18,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20252&CssClass=,
CMA 2023 #211,08/07/23 Special,08/07/23,19,Awaiting Report Response,AR-23-42,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20258&CssClass=,
CMA 2023 #212,08/07/23 Special,08/07/23,20,Appointment,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20259&CssClass=,
CMA 2023 #213,08/07/23 Special,08/07/23,21,Transmitting Communication,,,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20280&CssClass=,
CMA 2023 #214,08/07/23 Special,08/07/23,22,Transmitting Communication,,POR 2022 #278,,Placed on File,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20267&CssClass=,
CMA 2023 #215,08/07/23 Special,08/07/23,23,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4353&MediaPosition=&ID=20273&CssClass=,
