Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2022 #1,01/10/22 Regular,01/10/22,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15355&CssClass=,
CMA 2022 #2,01/10/22 Regular,01/10/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15357&CssClass=,
CMA 2022 #3,01/10/22 Regular,01/10/22,3,Appointment,,,,Placed on File,,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15356&CssClass=,
CMA 2022 #4,01/10/22 Regular,01/10/22,4,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15384&CssClass=,
CMA 2022 #5,01/10/22 Regular,01/10/22,5,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15391&CssClass=,
CMA 2022 #6,01/24/22 Regular,01/24/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15397&CssClass=,
CMA 2022 #7,01/24/22 Regular,01/24/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15424&CssClass=,
CMA 2022 #8,01/24/22 Regular,01/24/22,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15425&CssClass=,
CMA 2022 #9,01/24/22 Regular,01/24/22,4,Transmitting Communication,,,,REFERRED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15429&CssClass=,by QZ to the Health and Environment Committee
CMA 2022 #10,01/31/22 Regular,01/31/22,1,Awaiting Report Response,,POR 2021 #265,Patricia Nolan,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15496&CssClass=,by Councillor Nolan
CMA 2022 #11,01/31/22 Regular,01/31/22,2,Awaiting Report Response,,POR 2021 #229,,REFERRED,8-0-1-0,yes,yes,yes,yes,yes,yes,present,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15502&CssClass=,to the City Manager by Vice Mayor Mallon
CMA 2022 #12,01/31/22 Regular,01/31/22,3,Awaiting Report Response,,POR 2022 #8,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15506&CssClass=,
CMA 2022 #13,01/31/22 Regular,01/31/22,4,Awaiting Report Response,,POR 2021 #276,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15497&CssClass=,
CMA 2022 #14,01/31/22 Regular,01/31/22,5,Awaiting Report Response,,POR 2021 #247,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15498&CssClass=,
CMA 2022 #15,01/31/22 Regular,01/31/22,6,Transmitting Communication,,,,REFERRED TO THE PETITION,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15495&CssClass=,
CMA 2022 #16,01/31/22 Regular,01/31/22,7,Transmitting Communication,,,,REFERRED TO THE PETITION,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15494&CssClass=,
CMA 2022 #17,01/31/22 Regular,01/31/22,8,Transmitting Communication,,,,REFERRED TO THE PETITION,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15493&CssClass=,
CMA 2022 #18,02/07/22 Regular,02/07/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15533&CssClass=,
CMA 2022 #19,02/07/22 Regular,02/07/22,2,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15552&CssClass=,
CMA 2022 #20,02/28/22 Regular,02/28/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15606&CssClass=,
CMA 2022 #21,02/28/22 Regular,02/28/22,2,Awaiting Report Response,,POR 2021 #271,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15625&CssClass=,
CMA 2022 #22,02/28/22 Regular,02/28/22,3,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15609&CssClass=,by vice mayor
CMA 2022 #23,02/28/22 Regular,02/28/22,4,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15614&CssClass=,
CMA 2022 #24,02/28/22 Regular,02/28/22,5,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15607&CssClass=,
CMA 2022 #25,02/28/22 Regular,02/28/22,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15622&CssClass=,
CMA 2022 #26,02/28/22 Regular,02/28/22,7,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15624&CssClass=,
CMA 2022 #27,02/28/22 Regular,02/28/22,8,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15623&CssClass=,by vice mayor
CMA 2022 #28,02/28/22 Regular,02/28/22,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15635&CssClass=,
CMA 2022 #29,02/28/22 Regular,02/28/22,10,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15621&CssClass=,
CMA 2022 #30,02/28/22 Regular,02/28/22,11,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15618&CssClass=,
CMA 2022 #31,02/28/22 Regular,02/28/22,12,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15620&CssClass=,
CMA 2022 #32,02/28/22 Regular,02/28/22,13,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15616&CssClass=,by vice mayor
CMA 2022 #33,02/28/22 Regular,02/28/22,14,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15634&CssClass=,
CMA 2022 #34,02/28/22 Regular,02/28/22,15,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15628&CssClass=,Referred to the health and environment by Nolan
CMA 2022 #35,02/28/22 Regular,02/28/22,16,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15632&CssClass=,
CMA 2022 #36,02/28/22 Regular,02/28/22,17,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15633&CssClass=,
CMA 2022 #37,03/07/22 Regular,03/07/22,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15776&CssClass=,
CMA 2022 #38,03/07/22 Regular,03/07/22,2,Appropriation,,,Patricia Nolan,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15777&CssClass=,by nolan
CMA 2022 #39,03/07/22 Regular,03/07/22,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15778&CssClass=,
CMA 2022 #40,03/07/22 Regular,03/07/22,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15779&CssClass=,
CMA 2022 #41,03/07/22 Regular,03/07/22,5,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15780&CssClass=,
CMA 2022 #42,03/07/22 Regular,03/07/22,6,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15781&CssClass=,
CMA 2022 #43,03/07/22 Regular,03/07/22,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15782&CssClass=,
CMA 2022 #44,03/07/22 Regular,03/07/22,8,Awaiting Report Response,,POR 2021 #109,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15837&CssClass=,
CMA 2022 #45,03/07/22 Regular,03/07/22,9,Transmitting Communication,,,,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15789&CssClass=,by azeem
CMA 2022 #46,03/07/22 Regular,03/07/22,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15836&CssClass=,
CMA 2022 #47,03/07/22 Regular,03/07/22,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15811&CssClass=,
CMA 2022 #48,03/07/22 Regular,03/07/22,12,Transmitting Communication,,,,APPROVED,8-1-0,yes,yes,yes,yes,yes,yes,yes,yes,no,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15839&CssClass=,accepted and approved
CMA 2022 #49,03/07/22 Regular,03/07/22,13,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15783&CssClass=,roll call applies to two enclosed orders
CMA 2022 #50,03/07/22 Regular,03/07/22,14,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15844&CssClass=,
CMA 2022 #51,03/07/22 Regular,03/07/22,15,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15786&CssClass=,public safety by azeem
CMA 2022 #52,03/07/22 Regular,03/07/22,16,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15845&CssClass=,
CMA 2022 #53,03/21/22 Regular,03/21/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15896&CssClass=,
CMA 2022 #54,03/21/22 Regular,03/21/22,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15897&CssClass=,
CMA 2022 #55,03/21/22 Regular,03/21/22,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15901&CssClass=,
CMA 2022 #56,03/21/22 Regular,03/21/22,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15902&CssClass=,
CMA 2022 #57,03/21/22 Regular,03/21/22,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15903&CssClass=,
CMA 2022 #58,03/21/22 Regular,03/21/22,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15904&CssClass=,
CMA 2022 #59,03/21/22 Regular,03/21/22,7,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15906&CssClass=,
CMA 2022 #60,03/28/22 Regular,03/28/22,1,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15962&CssClass=,
CMA 2022 #61,03/28/22 Regular,03/28/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15964&CssClass=,
CMA 2022 #62,03/28/22 Regular,03/28/22,3,Awaiting Report Response,AR-22-11,,,Placed on File,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15968&CssClass=,
CMA 2022 #63,04/04/22 Regular,04/04/22,1,Appropriation,,POR 2022 #38,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16005&CssClass=,
CMA 2022 #64,04/04/22 Regular,04/04/22,2,Awaiting Report Response,,POR 2021 #216,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16006&CssClass=,
CMA 2022 #65,04/04/22 Regular,04/04/22,3,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15999&CssClass=,
CMA 2022 #66,04/04/22 Regular,04/04/22,4,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15997&CssClass=,
CMA 2022 #67,04/04/22 Regular,04/04/22,5,Awaiting Report Response,,POR 2021 #181,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16007&CssClass=,
CMA 2022 #68,04/04/22 Regular,04/04/22,6,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16009&CssClass=,
CMA 2022 #69,04/04/22 Regular,04/04/22,7,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16010&CssClass=,
CMA 2022 #70,04/04/22 Regular,04/04/22,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16011&CssClass=,
CMA 2022 #71,04/04/22 Regular,04/04/22,9,Awaiting Report Response,,POR 2021 #116,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16008&CssClass=,attached order adopted and. attached Code Amedmt ordinance passed to a second reading.
CMA 2022 #73,04/11/22 Regular,04/11/22,1,Awaiting Report Response,,POR 2022 #10,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16040&CssClass=,
CMA 2022 #74,04/11/22 Regular,04/11/22,2,Transmitting Communication,,,Dennis J. Carlone,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16052&CssClass=,by carlone
CMA 2022 #75,04/11/22 Regular,04/11/22,3,Awaiting Report Response,,POR 2022 #29,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16039&CssClass=,
CMA 2022 #76,04/11/22 Regular,04/11/22,4,Awaiting Report Response,,POR 2021 #217,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16038&CssClass=,
CMA 2022 #77,04/11/22 Regular,04/11/22,5,Transmitting Communication,,,,REFERRED TO THE PETITION,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16042&CssClass=,
CMA 2022 #78,04/11/22 Regular,04/11/22,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16051&CssClass=,
CMA 2022 #79,04/25/22 Regular,04/25/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16108&CssClass=,
CMA 2022 #80,04/25/22 Regular,04/25/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16112&CssClass=,
CMA 2022 #81,04/25/22 Regular,04/25/22,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16111&CssClass=,
CMA 2022 #82,04/25/22 Regular,04/25/22,4,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16113&CssClass=,
CMA 2022 #83,04/25/22 Regular,04/25/22,5,Awaiting Report Response,,POR 2021 #23,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16114&CssClass=,
CMA 2022 #84,04/25/22 Regular,04/25/22,6,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16115&CssClass=,to housing committee
CMA 2022 #85,04/25/22 Regular,04/25/22,7,Appointment,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16117&CssClass=,to the NLTP committee
CMA 2022 #86,05/02/22 Regular,05/02/22,1,Transmitting Communication,,,,Referred to Committee,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16191&CssClass=,to the finance committee
CMA 2022 #87,05/02/22 Regular,05/02/22,2,Appropriation,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16200&CssClass=,
CMA 2022 #88,05/02/22 Regular,05/02/22,3,Transmitting Communication,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16202&CssClass=,
CMA 2022 #89,05/02/22 Regular,05/02/22,4,Transmitting Communication,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16201&CssClass=,
CMA 2022 #90,05/02/22 Regular,05/02/22,5,Appropriation,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16199&CssClass=,
CMA 2022 #91,05/02/22 Regular,05/02/22,6,Appropriation,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16198&CssClass=,
CMA 2022 #92,05/02/22 Regular,05/02/22,7,Transmitting Communication,,,,PASSED TO A SECOND READING,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16203&CssClass=,
CMA 2022 #93,05/02/22 Regular,05/02/22,8,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16204&CssClass=,
CMA 2022 #94,05/02/22 Regular,05/02/22,9,Appropriation,,,,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16194&CssClass=,
