Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Type of Vote,Sumbul Siddiqui,Burhan Azeem,Patricia Nolan,Jivan Sobrinho-Wheeler,Catherine Zusy,Marc C. McGovern,E. Denise Simmons,Timothy R. Flaherty,Ayah A. Al-Zubi,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2026-39,4,2026-03-09 Regular,2026-03-09,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,absent,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87082,Condolences To The Family of Raymond T. Coleman,
RES 2026-37,1,2026-03-16 Regular,2026-03-16,,Timothy R. Flaherty,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87075,Condolences to the family of Marion F. Arena (McNally),
RES 2026-38,2,2026-03-16 Regular,2026-03-16,,Timothy R. Flaherty,Withdrawn,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87076,Condolences to the family of Frances E. McCauley,
RES 2026-40,3,2026-03-16 Regular,2026-03-16,,Timothy R. Flaherty,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87083,Condolences to the family of Stanley T. Kotowski,
RES 2026-41,4,2026-03-16 Regular,2026-03-16,,E. Denise Simmons,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87085,Congratulations to the Alibhai-Dadabhoy family on the birth of their son Agha Ibrahim Alibhai,
RES 2026-42,5,2026-03-16 Regular,2026-03-16,,E. Denise Simmons,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87086,Condolences to the family of Frances E. McCauley,
RES 2026-43,6,2026-03-16 Regular,2026-03-16,,Marc C. McGovern,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87087,Resolution on the 95th Birthday of Toby Cosmo DiFraia,
RES 2026-44,7,2026-03-16 Regular,2026-03-16,,E. Denise Simmons,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87109,Thanks to the O’Bannon family for their involvement in The Oscar Micheaux Family Theater Program Company,
RES 2026-45,8,2026-03-16 Regular,2026-03-16,,Sumbul Siddiqui,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87112,Congratulations to the team behind Eastern Edge Food Hall on the opening of this new space in Kendall Square,
RES 2026-46,9,2026-03-16 Regular,2026-03-16,,Jivan Sobrinho-Wheeler,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87114,Recognition of and appreciation for Children’s Village and its lasting contribution to the Cambridge community and to the children and families they serve,
RES 2026-47,10,2026-03-16 Regular,2026-03-16,,Timothy R. Flaherty,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87121,Condolences to the family of Vincent J. Borelli,
RES 2026-48,11,2026-03-16 Regular,2026-03-16,,E. Denise Simmons,Adopted,Voice Vote,,,absent,,absent,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87122,Condolences to the family of Edward C. Bernis,
RES 2026-49,1,2026-03-23 Regular,2026-03-23,,Sumbul Siddiqui,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87135,Congratulations to the CRLS Unified Sports Program on achieving recognition as a National Banner Unified Champion School and celebrates its ongoing commitment to inclusion and excellence,
RES 2026-50,2,2026-03-23 Regular,2026-03-23,,Sumbul Siddiqui,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87136,"That the Cambridge City Council express its deep appreciation for Minara’s contributions to the cultural, social, and civic life of Cambridge",
RES 2026-51,3,2026-03-23 Regular,2026-03-23,,Timothy R. Flaherty,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87156,Condolences on the Passing of Patricia L. O’Connor,
RES 2026-52,4,2026-03-23 Regular,2026-03-23,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87158,Late Resolution Congratulating Cambridge Community Center 2026 Honorees,
RES 2026-53,5,2026-03-23 Regular,2026-03-23,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87159,Late Condolence Resolution to the Family of Gloria Thompson,
RES 2026-54,6,2026-03-23 Regular,2026-03-23,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87161,Condolences To The Family of Yvette Dottin,
RES 2026-55,7,2026-03-23 Regular,2026-03-23,,E. Denise Simmons,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87162,Late Condolence Resolution for Leon Braithwaite,
RES 2026-56,8,2026-03-23 Regular,2026-03-23,,Timothy R. Flaherty,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87166,Late Resolution recognizing Eric and Yukiko Toledo for their outstanding volunteer service and commitment to Cambridge Youth Sports,
RES 2026-60,1,2026-04-13 Regular,2026-04-13,,Timothy R. Flaherty,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=4f8a0ca3-85d4-4605-bd10-f88a3ec495af,Resolution on the death of Lloyd C. Sicari,
RES 2026-61,2,2026-04-13 Regular,2026-04-13,,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=4789c91b-96ad-4346-864b-a965b60f3dfb,Resolution acknowledging Patriots Day 2026,
