# Final piles of ballots, sorted by candidate.
# Created Friday, November 14, 2025 5:28 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Ayah A. Al-Zubi"
.CANDIDATE C02, "Burhan Azeem"
.CANDIDATE C03, "LaQueen Arleen Battle"
.CANDIDATE C04, "Elizabeth Bisio"
.CANDIDATE C05, "Dana Ray Bullister"
.CANDIDATE C06, "Timothy R. Flaherty"
.CANDIDATE C07, "John Hanratty"
.CANDIDATE C08, "Peter Hsu"
.CANDIDATE C09, "Marc C. McGovern"
.CANDIDATE C10, "Ned S. Melanson"
.CANDIDATE C11, "Patricia M. Nolan"
.CANDIDATE C12, "Stanislav A. Rivkin"
.CANDIDATE C13, "Zion Nathaniel Sherin"
.CANDIDATE C14, "Sumbul Siddiqui"
.CANDIDATE C15, "E. Denise Simmons"
.CANDIDATE C16, "Jivan G. Sobrinho-Wheeler"
.CANDIDATE C17, "Ayesha M. Wilson"
.CANDIDATE C18, "Robert Winters"
.CANDIDATE C19, "Catherine Zusy"
.CANDIDATE WI01, "WI - Louise A. Venden"
.CANDIDATE WI02, "Write-in 2"
.CANDIDATE WI03, "Write-in 3"
.CANDIDATE WI04, "Write-in 4"
.CANDIDATE WI05, "Write-in 5"
.CANDIDATE WI06, "Write-in 6"
.CANDIDATE WI07, "Write-in 7"
.CANDIDATE WI08, "Write-in 8"
.CANDIDATE WI09, "Write-in 9"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C01
.EXCLUDE-CANDIDATE C02
.EXCLUDE-CANDIDATE C06
.EXCLUDE-CANDIDATE C09
.EXCLUDE-CANDIDATE C11
.EXCLUDE-CANDIDATE C14
.EXCLUDE-CANDIDATE C15
.EXCLUDE-CANDIDATE C16
.EXCLUDE-CANDIDATE C19

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("Ayah A. Al-Zubi")
# Candidate has 2,537 ballots in his/her pile.
.FINAL-PILE C01
000403-00-09130000577494, 1) C01,C05,C10,C09,C14,C02,C16,C11,C08,C12
000403-00-09130000583886, 1) C01,C12,C09
000403-00-09130000683342, 1) C01,C16,C02,C10,C09
000403-00-09130000684268, 1) C01,C16,C02,C14,C12,C17,C10,C09,C15,C05,C11,C03
000403-00-09130000707288, 1) C01,C16,C02,C09,C15,C14,C05,C10
000403-00-09130000732654, 1) C01,C12
000403-00-09130000738550, 1) C01,C02,C14,C16,C12,C17,C15,C18,C08
000403-00-09130000741111, 1) C01,C02,C16,C09,C05,C10,C14
000403-00-09130000758756, 1) C01,C10,C16,C14,C12,C11,C02,C09,C19
000403-00-09130000759439, 1) C01,C16,C12,C14,C17,C13,C15
000403-00-09130000792548, 1) C01,C09,C12,C02,C11,C17,C19,C15,C10
000403-00-09130000857080, 1) C01,C17,C02,C10,C15
000403-00-09130000874475, 1) C01,C12,C17,C08,C14,C05,C16,C19,C04
000403-00-09130000884888, 1) C01,C14
000403-00-09130000896705, 1) C01,C03,C12,C08,C16
000403-00-09130000909427, 1) C01,C16,C10,C17,C09
000403-00-09130000961056, 1) C01,C16,C14,C02,C11,C10,C12,C09,C05,C17
000403-00-09130000968270, 1) C01,C12,C14
000403-00-09130000995034, 1) C01,C16,C14,C17,C12,C15,C10
000403-00-11140000100011, 1) C01,C16,C14,C03,C12
000402-00-00120000005253, 1) C01,C16,C14,C09,C12,C05,C02,C10,C08
000402-00-00120000009428, 1) C01,C11,C14,C12,C16,C09,C17,C05,C15,C19,C04,C02
000402-00-00120000041569, 1) C01,C09,C14,C16,C02,C10,C05,C12,C17
000402-00-00120000061710, 1) C01,C12,C16,C14,C05,C08,C02,C03,C11,C17
000402-00-00120000093666, 1) C01,C14,C02,C09,C15,C16,C17,C19,C10,C11,C12,C13,C03
000402-00-00120000117964, 1) C01,C12,C16,C14,C11
000402-00-00120000120905, 1) C01,C14,C02,C09,C16,C05,C10,C11,C03,C12,C08
000402-00-00120000132676, 1) C01,C02,C03,C15,C17,C16
000402-00-00120000139061, 1) C01,C16,C12,C14,C11,C05,C02,C10,C09
000402-00-00120000151151, 1) C01,C02,C14,C10,C05,C16,C12,C09,C06
000402-00-00120000201104, 1) C01,C14,C10,C02,C05,C08
000402-00-00120000228831, 1) C01,C16,C12,C14,C09
000402-00-00120000234022, 1) C01,C16,C12,C14,C09,C05,C02,C10,C03,C04,C11
000402-00-00120000246438, 1) C01,C02,C16,C14,C09,C05,C10,C19
000402-00-00120000278327, 1) C01,C09,C02,C14,C15,C16,C10,C17,C19
000402-00-00120000284519, 1) C01,C16,C12,C02,C14,C05,C10
000402-00-00120000286128, 1) C01
000402-00-00120000335365, 1) C01,C17,C02,C15,C14,C08,C19,C04,C03
000402-00-00120000356049, 1) C01,C15,C14,C06,C09
000402-00-00120000368508, 1) C01,C05,C14
000402-00-00120000388945, 1) C01,C14,C17,C09
000402-00-00120000391526, 1) C01,C12,C03,C14,C16
000402-00-00120000406667, 1) C01,C14,C12,C03
000402-00-00120000429018, 1) C01,C14,C16,C02,C17,C03,C12,C08
000402-00-00120000464173, 1) C01,C12,C16
000402-00-00120000482643, 1) C01,C05,C09,C19,C15,C12,C11,C14,C16,C10,C08,C02,C03,C13,C04
000402-00-00120000486131, 1) C01,C16,C12,C14,C05,C03,C09,C02,C10,C17
000402-00-00120000489022, 1) C01,C14,C16,C12,C09
000402-00-00120000504038, 1) C01,C14,C16,C02,C09,C15
000402-00-00120000555586, 1) C01,C16,C14,C05,C02,C10,C09
000402-00-00120000571395, 1) C01,C11,C12,C14,C16
000402-00-00120000639462, 1) C01,C10,C02,C14,C05,C16,C11,C09,C12
000402-00-00120000658489, 1) C01,C05,C14,C02,C10,C09,C16,C17
000402-00-00120000664213, 1) C01,C16,C14,C12,C03
000402-00-00120000679904, 1) C01,C12,C16,C02,C14,C10,C05,C09,C15
000402-00-00120000690528, 1) C01,C02,C14,C16,C17
000402-00-00120000720725, 1) C01,C14,C09,C16,C17,C02
000402-00-00120000734237, 1) C01,C14,C16
000402-00-00120000736494, 1) C01,C16,C17,C12
000402-00-00120000740003, 1) C01,C16,C14,C02,C09,C10,C05,C12,C03,C11
000402-00-00120000742596, 1) C01,C15,C06
000402-00-00120000746770, 1) C01,C16,C02,C05,C09,C10,C14
000402-00-00120000758480, 1) C01,C16,C12,C14,C05,C08,C11
000402-00-00120000779691, 1) C01,C12,C14,C16,C17,C09
000402-00-00120000801663, 1) C01,C16,C12,C07,C11,C13,C09
000402-00-00120000815409, 1) C01,C02,C16,C05,C10,C14,C12
000402-00-00120000823544, 1) C01,C16,C02,C09,C14,C05,C10,C11,C12
000402-00-00120000834597, 1) C01,C12,C14,C02,C10,C05,C09,C16,C04,C17
000402-00-00120000872970, 1) C01,C02,C09,C10,C14,C12
000402-00-00120000878285, 1) C01,C12,C16
000402-00-00120000884034, 1) C01,C16,C12,C14
000402-00-00120000898258, 1) C01,C02
000402-00-00120000929374, 1) C01,C16,C09,C14,C02,C05,C10,C12,C11,C15,C17,C03,C19,C08
000402-00-00120000945030, 1) C01,C02,C16
000402-00-00120000995562, 1) C01,C04,C14,C15,C09,C18,C17,C16,C12,C10,C19,C05,C07,C11,C02
000402-00-00120000998610, 1) C01,C16,C12,C14
000402-00-00470002000034, 1) C01,WI01,C17,C16,C08,C11,C19
000402-00-00470005000003, 1) C01,C17,C05,C14,C15,C19,C11,C02,C04,C16
000402-00-00470005000008, 1) C01,C16,C10,C05,C12,C02,C09,C03
000402-00-00470005000009, 1) C01,C16,C10,C05,C12,C02,C09,C03
000402-00-09120000001879, 1) C01,C16,C12,C14,C09
000402-00-09120000004725, 1) C01,C16,C12,C11,C14,C09,C10,C15,C17,C02
000402-00-09120000078012, 1) C01,C02,C14,C16,C05,C09,C10,C15,C18
000402-00-09120000085347, 1) C01,C16,C14,C02,C09,C05,C10,C12,C03,C11,C19,C08,C15,C17,C06
000402-00-09120000105851, 1) C01,C09,C05,C10,C16,C02,C14
000402-00-09120000139113, 1) C01,C02,C08,C09,C14,C15,C16,C19,C11,C18
000402-00-09120000143236, 1) C01,C02,C14,C16,C09,C15,C17,C11
000402-00-09120000148348, 1) C01,C02,C09,C15,C17,C07,C14,C05,C10,C11,C08,C16,C06,C04,C03
000402-00-09120000151002, 1) C01,C02,C17,C08,C14,C09,C10,C16,C15,C12,C05
000402-00-09120000178267, 1) C01,C16,C12,C14,C17
000402-00-09120000244234, 1) C01,C14,C16,C03,C12,C02
000402-00-09120000260753, 1) C01,C02,C05,C09,C16,C10,C14,C08,C11,C12,C15,C19,C17
000402-00-09120000284905, 1) C01,C16,C02,C11,C13,C15,C17
000402-00-09120000285804, 1) C01,C05,C12,C14,C19,C06,C16,C02,C11,C17,C13,C10
000402-00-09120000287016, 1) C01,C05,C10,C16,C12,C02
000402-00-09120000295414, 1) C01,C16,C02,C09,C14,C05,C10,C12,C08,C03
000402-00-09120000298391, 1) C01,C16,C03,C14,C17,C02,C05,C10,C15,C12,C09,C19,C11,C08,C04
000402-00-09120000300235, 1) C01,C09,C15,C19,C17
000402-00-09120000305399, 1) C01,C15,C16,C02,C10,C09,C14,C12,C17,C05,C03
000402-00-09120000315181, 1) C01,C16,C14,C02,C05,C09,C10,C11
000402-00-09120000321269, 1) C01,C16,C12
000402-00-09120000350363, 1) C01,C02
000402-00-09120000380390, 1) C01,C19,C17,C16,C11
000402-00-09120000408128, 1) C01,C02,C16,C14,C09
000402-00-09120000417330, 1) C01,C16,C02,C14,C09,C05,C10,C08,C03,C12,C19,C11,C15,C17,C04
000402-00-09120000419310, 1) C01,C02,C16,C14
000402-00-09120000458616, 1) C01,C16,C12,C14,C08
000402-00-09120000489160, 1) C01,C16,C05,C02,C10,C14,C12,C17,C09,C08,C07,C06
000402-00-09120000493849, 1) C01,C16,C14,C02,C09,C10,C05,C12,C03,C11
000402-00-09120000503690, 1) C01,C12,C16,C14,C09,C11,C17,C08
000402-00-09120000523458, 1) C01,C16,C12,C14,C08,C11
000402-00-09120000537824, 1) C01,C15,C16,C02,C10,C09,C14,C12,C17,C05,C03
000402-00-09120000570726, 1) C01,C02,C16,C14,C12
000402-00-09120000571499, 1) C01,C09,C15,C14,C13,C11,C16,C19,C02,C03,C17,C18,C08,C07,C10
000402-00-09120000676904, 1) C01,C11,C12,C14,C16,C15
000402-00-09120000677933, 1) C01,C05,C02,C16
000402-00-09120000687784, 1) C01,C16,C14,C12
000402-00-09120000733506, 1) C01,C16,C14,C09,C02,C05,C10
000402-00-09120000734721, 1) C01,C16,C02,C05,C10,C09,C14,C15,C17
000402-00-09120000737555, 1) C01,C12,C16
000402-00-09120000759974, 1) C01,C16,C12,C14
000402-00-09120000797957, 1) C01,C02,C05,C15,C09,C10,C16,C11,C14,C17,C18
000402-00-09120000804614, 1) C01,C02,C10,C09,C05,C03,C08,C04,C07,C11,C14,C15,C16,C17,C19
000402-00-09120000813849, 1) C01,C02,C14,C16,C09,C15,C03,C17,C19,C04,C11,C05,C08,C13
000402-00-09120000817254, 1) C01,C16
000402-00-09120000818438, 1) C01,C02,C16
000402-00-09120000832826, 1) C01,C16,C14,C02,C09,C05,C10,C12,C03,C11,C19,C08,C15,C17,C06
000402-00-09120000857548, 1) C01,C14,C12,C05,C02,C16
000402-00-09120000885063, 1) C01,C16,C14,C12,C08,C17,C05,C02,C15
000402-00-09120000938471, 1) C01,C16,C14,C02,C05,C09,C11
000402-00-09120000957437, 1) C01,C16,C10,C12,C14,C02,C05,C09,C17
000402-00-09120000968560, 1) C01,C17,C03,C19,C02
000402-00-09120000977118, 1) C01,C12,C16,C11,C14,C18,C19,C02,C03,C04,C05,C06,C07,C08
000102-00-00020000010126, 1) C01,C11,C16,C02,C14,C17,C12,C09,C10,C05
000102-00-00020000017034, 1) C01,C05,C10,C09,C16,C02,C14,C19,C11,C12,C08,C03
000102-00-00020000026056, 1) C01,C09,C16,C02,C12,C08,C11,C14
000102-00-00020000073824, 1) C01,C14,C16,C02,C09,C05,C10,C12,C11,C17,C15
000102-00-00020000117879, 1) C01,C16,C10,C02,C05,C14,C09,C12
000102-00-00020000199553, 1) C01,C02,C16,C14,C15,C17,C03
000102-00-00020000217314, 1) C01,C03,C12,C14,C16
000102-00-00020000453127, 1) C01,C11,C16,C02,C14,C17,C12,C09,C10,C05
000102-00-00020000557121, 1) C01,C16,C12,C14,C05,C09,C10,C19,C11,C17,C18,C13,C02,C06,C15
000102-00-00020000569947, 1) C01,C14,C16,C02,C09,C05,C10,C12,C11
