Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Ordinance Committee,Committee,,04/06/22,05:30 PM,completed,4068,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4068,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3589&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3589&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2493&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2493&Inline=True
Ordinance Committee,Committee,,04/07/22,05:30 PM,completed,4100,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4100,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3623&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3623&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2494&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2494&Inline=True
City Council,Regular,,04/11/22,05:30 PM,completed,4025,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4025,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3630&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3630&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2495&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2495&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,04/12/22,10:00 AM,completed,4101,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4101,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3624&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3624&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2496&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2496&Inline=True
Planning Board,Planning Board,,04/12/22,06:30 PM,completed,4075,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4075,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3635&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2529&Inline=True
Ordinance Committee,Committee,,04/13/22,11:00 AM,completed,4110,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4110,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3636&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3636&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2497&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2497&Inline=True
Economic Development & University Relations Committee,Committees,,04/13/22,03:00 PM,completed,4086,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4086,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3611&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3611&Inline=True,,
Civic Unity Committee,Committee,,04/14/22,05:30 PM,completed,4092,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4092,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3613&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3613&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2561&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2561&Inline=True
Board of Zoning Appeal,Hearing – Remote,,04/14/22,06:00 PM,completed,4098,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4098,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3620&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3620&Inline=True,,
Planning Board,Planning Board,,04/19/22,06:30 PM,completed,4087,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4087,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3639&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2530&Inline=True
